iter	Passed	Remaining
872	6671	970
873	6684	963
874	6696	956
875	6706	949
876	6718	942
877	6728	934
878	6739	927
879	6751	920
880	6763	913
881	6772	906
882	6785	899
883	6794	891
884	6803	884
885	6822	877
886	6839	871
887	6852	864
888	6867	857
889	6879	850
890	6888	842
891	6899	835
892	6908	827
893	6919	820
894	6932	813
895	6939	805
896	6950	798
897	6963	790
898	6971	783
899	6984	776
900	6997	768
901	7008	761
902	7017	753
903	7031	746
904	7040	739
905	7049	731
906	7062	724
907	7077	717
908	7095	710
909	7108	703
910	7118	695
911	7128	687
912	7176	683
913	7212	678
914	7228	671
915	7240	663
916	7249	656
917	7264	648
918	7279	641
919	7293	634
920	7306	626
921	7316	618
922	7328	611
923	7348	604
924	7363	597
925	7377	589
926	7391	582
927	7401	574
928	7410	566
929	7423	558
930	7434	550
931	7443	543
932	7458	535
933	7469	527
934	7478	519
935	7490	512
936	7501	504
937	7512	496
938	7524	488
939	7531	480
940	7542	472
941	7556	465
942	7567	457
943	7576	449
944	7586	441
945	7603	434
946	7620	426
947	7629	418
948	7642	410
949	7657	403
950	7671	395
951	7682	387
952	7692	379
953	7702	371
954	7717	363
955	7726	355
956	7737	347
957	7747	339
958	7757	331
959	7768	323
960	7777	315
961	7788	307
962	7800	299
963	7807	291
964	7819	283
965	7825	275
966	7837	267
967	7843	259
968	7859	251
969	7874	243
970	7886	235
971	7895	227
972	7904	219
973	7917	211
974	7926	203
975	7936	195
976	7947	187
977	7955	178
978	7966	170
979	7973	162
980	7986	154
981	7999	146
982	8007	138
983	8019	130
984	8032	122
985	8043	114
986	8054	106
987	8066	97
988	8073	89
989	8084	81
990	8091	73
991	8100	65
992	8113	57
993	8130	49
994	8139	40
995	8150	32
996	8159	24
997	8168	16
998	8179	8
999	8187	0
